step,env,surface_profile,profile_seed,observation_mode,observation_dim,feature_index,feature_name,value
0,1,factory_prepolish_deep_defect,1000,global20,20,4,path_progress,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,5,local_scratch_mean_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,6,local_scratch_max_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,7,local_removal_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,8,local_clearcoat_margin_norm,1.0
0,1,factory_prepolish_deep_defect,1000,global20,20,9,previous_force_action,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,10,previous_feed_action,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,11,local_temperature_mean_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,12,local_temperature_peak_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,13,local_thermal_damage_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,14,inspection_pass_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,15,gu_gap_norm,0.4448448717594147
0,1,factory_prepolish_deep_defect,1000,global20,20,16,ra_gap_norm,-0.4412309527397156
0,1,factory_prepolish_deep_defect,1000,global20,20,17,rz_gap_norm,-0.3684152364730835
0,1,factory_prepolish_deep_defect,1000,global20,20,18,clearcoat_margin_norm,0.6292973160743713
0,1,factory_prepolish_deep_defect,1000,global20,20,19,center_edge_removal_delta_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,0,force_mean_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,1,force_error_norm,-1.1555999517440796
0,1,factory_prepolish_deep_defect,1000,spatial120,120,2,force_delta_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,3,feed_cmd_norm,1.2699999809265137
0,1,factory_prepolish_deep_defect,1000,spatial120,120,4,path_progress,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,5,local_scratch_mean_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,6,local_scratch_max_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,7,local_removal_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,8,local_clearcoat_margin_norm,1.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,9,previous_force_action,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,10,previous_feed_action,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,11,local_temperature_mean_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,12,local_temperature_peak_norm,0.0
