surface_profile,seed,design_status,legacy_exact_match,base_micro_ra_um,base_micro_rz_um,initial_total_ra_um,initial_total_rz_um,individual_scratch_count,individual_scratch_count_design_min,individual_scratch_count_design_max,individual_scratch_max_um,individual_scratch_affected_fraction,mar_density_mean,mar_density_max,mar_severity_mean,mar_severity_max,q_mar_mean,initial_gu_mean,initial_gu_p10,initial_gu_min,clearcoat_min_um,clearcoat_mean_um,clearcoat_max_um,all_finite,state_fingerprint_sha256
legacy_stress,10,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07953241065011508,0.6539517792165526,0.13368762207781057,2.280724303755009,,4,12,1.8495605323514064,0.1212,0.0,0.0,0.0,0.0,1.0,50.69898580995238,28.192646741160704,25.517818249170023,41.28055922042473,46.972063435719896,50.0,True,945fa1f0e96c6acc5b4c84faaae3955673dfb0f043f175f54b1fddfdf94e9137
new_car_mild,10,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.03528885759583627,0.26146359386845247,0.03528885759583627,0.26146359386845247,0,0,3,0.0,0.0,0.048714403076093975,0.0706610965915832,0.0696719922702285,0.10121292161236743,0.9731191075302499,88.56523079122194,88.4197100678465,88.33106284062744,40.820547978717876,44.04048106383743,49.39124180145878,True,96282a31104af87d44ee4e17fb2ef69987a2bc24bac949ff2e1920fd5e00f827
legacy_stress,11,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07988354641022824,0.6569888393726073,0.12382580984156107,2.251329904950612,,4,12,1.9739552692790652,0.1177,0.0,0.0,0.0,0.0,1.0,48.83843855905876,25.517511410309982,25.43944768239188,40.750611810941386,43.69436824096605,47.8281096832109,True,eee09752bb049d2c290bf4df75c1eef8812aaf888c1fb59d5470d8411ef92872
new_car_mild,11,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.042575169921310545,0.3739627709380011,0.04306519356465546,0.42842456444387145,2,0,3,0.29565270359802237,0.0066,0.06738627373904313,0.0973435415481318,0.04006644962464435,0.05801967476657071,0.9789459044615875,83.27290221048476,59.77693232248299,45.7479625295898,40.665724068915274,44.109081595492995,46.07015342270628,True,dcf06198b8f8d0efa3fb2a6d76a499cdefcc537e69a62390e8c8859574662635
legacy_stress,12,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07932858830569503,0.6607799346985314,0.12596832251359866,2.472125016596104,,4,12,1.9863261891530046,0.1109,0.0,0.0,0.0,0.0,1.0,51.126861884702706,35.33521809805306,25.463386514020133,43.21817881954563,45.96640056936495,50.0,True,70feba7d6b5483f687f1496c6625f321d851f8f5bdd212749b8e03bf92cfece3
new_car_mild,12,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.05381042031494666,0.40006826804517637,0.05522619153018925,0.6676754716632791,3,0,3,0.5734808976321891,0.0083,0.07867857654657961,0.11393793219987326,0.09731434308718527,0.14062296165449215,0.9411450589109936,77.08948492584146,36.94380081550803,26.98956049924513,40.0,42.63905487973437,45.07851637624188,True,8675c57dac7bcefa1f54015e22c1ebffd7159d081af6686e9cb64afcfbb826cb
legacy_stress,13,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07997028789485655,0.7503434957126562,0.12599969003877387,1.9895329128917885,,4,12,1.537452266155595,0.1026,0.0,0.0,0.0,0.0,1.0,53.86132886692107,32.41910281477957,25.451843158232066,41.371075275270755,44.43922998197504,47.78152362441686,True,80a6d100f5d32a921167cbcd2c47b4f768c848d1e788c6783f04ae862e039e5f
new_car_mild,13,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.051191001181932205,0.4231581897851243,0.051191001181932205,0.4231581897851243,0,0,3,0.0,0.0,0.03939227655721498,0.0570918856730168,0.15702825344688554,0.22799210963589212,0.9513600281045692,88.20610968040617,87.91226218545333,87.81491128374982,42.9707048339953,46.27740990151672,48.22125082324173,True,b727d098076305571dcb1b61efd564793484e4cc4ac0db899c5eef9e96a6acde
legacy_stress,14,ESTABLISHED_GENERATOR_UNCHANGED,True,0.0798806493681753,0.6825778785735899,0.1073997449557452,1.8030333684855602,,4,12,1.5057910147917812,0.0628,0.0,0.0,0.0,0.0,1.0,62.915114727236215,42.74814114325106,41.07545646488536,42.494777480750614,46.422149802994895,49.31502027981416,True,fcc914edc29a62ad56ca02601da5a5815e705cbca3f3d7e4c65a15aec2631dac
new_car_mild,14,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.048128616439763745,0.45129018291918466,0.0483235178525555,0.4660675729376334,1,0,3,0.1577305772236097,0.0017,0.09287847639042085,0.13420848212796194,0.14851715381003947,0.21700994971686544,0.895641761199978,82.43747901057208,86.27054594288926,26.950281800105078,41.27013321272792,44.67727321987809,48.25397925955252,True,fe7c2b88527315beb8b47e913cc3ed1e90f3c66279d7af1fc14e3ff60114cb9d
legacy_stress,15,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07987236346179952,0.6683859735358126,0.1086169789206418,1.6616071581549012,,4,12,1.379945935796196,0.0834,0.0,0.0,0.0,0.0,1.0,55.841131180492155,39.35803498109166,25.53,43.088960890629494,48.41664653999755,50.0,True,4ce4e1376890a634b20590ae197356d8e33eb9c2d2ac92bc67a61fdb6353637a
new_car_mild,15,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.058007772347010565,0.5093208801093383,0.058010825964428865,0.5092295472271666,1,0,3,0.07198613611191938,0.0034,0.08547043622904103,0.12377391967071248,0.04125761088648781,0.05944065634467378,0.9722006663708241,83.58719770317886,87.91452666431285,27.00696986847744,47.95017259161978,49.920276614528845,50.0,True,a64f8c0fee8c6fb898eb0049610207b84066e51c9165712c8c20f5e6f72cc373
legacy_stress,16,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07956573129040392,0.7305281796082086,0.12407447192880627,2.0467543876831753,,4,12,1.691676184463441,0.0938,0.0,0.0,0.0,0.0,1.0,52.82879742572505,32.64497378559861,25.51699106490819,44.6908664372756,46.83124351000472,50.0,True,a41909c6cd0557cff111c32c2bdda2d24c522c72ad62db9a31a1eedd8634c4f4
new_car_mild,16,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.03636506389094613,0.3141777252042518,0.03636506389094613,0.3141777252042518,0,0,3,0.0,0.0,0.037988765249443744,0.05501783701863994,0.06127575430225747,0.08889556215317641,0.9814851735399086,88.70157707105496,88.61754351984875,88.58066577833627,40.80797879884058,43.88047591664279,47.73052394548658,True,dfc45704cb5968a4c9b6dff23421c2176a9866401a82a0264f19617afdf6f461
legacy_stress,17,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07947373548540534,0.6276156668758178,0.09445444466593736,1.8618650436668147,,4,12,1.643235591726508,0.0312,0.0,0.0,0.0,0.0,1.0,70.66719832620738,43.770030661353,33.96979765256146,42.76266216671954,44.522751576823424,49.31902997934113,True,4e3a22aebc4ae7473ad8d33eb897f513f4b72a3479769f23f194a6322355a562
new_car_mild,17,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.03662103045465805,0.29518453103794157,0.03662103045465805,0.29518453103794157,0,0,3,0.0,0.0,0.09525420262715768,0.13782024322031725,0.12220580240448649,0.17755105619133033,0.9120149995469116,87.54112445179227,87.11050629530602,87.03409931972885,42.899648649686185,47.01221564862067,49.65933625611199,True,c15ff72f7e5236c9f36eeac2490d197436cb316c1ecee2db8f297d22726cc5e8
legacy_stress,18,ESTABLISHED_GENERATOR_UNCHANGED,True,0.0801228269106627,0.6348580197472673,0.10628011402704501,1.9712506920861443,,4,12,1.7325533393026884,0.0498,0.0,0.0,0.0,0.0,1.0,66.27847341693786,38.13093514890725,29.912687572016605,40.03182008953377,43.359759408619965,46.56067314818567,True,f1aefdaecb229febf09bdc020dc9ef9588f391df4dc7e50eec46b480fb628c91
new_car_mild,18,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.05094562393257832,0.4459844613859042,0.05094562393257832,0.4459844613859042,0,0,3,0.0,0.0,0.09682697854747295,0.14027818628994632,0.08558532788773034,0.12379261979890632,0.935769305440151,87.94504725937482,87.55926667068941,87.43973261134938,40.34963342980557,43.55698475358594,46.90541169345769,True,2e13783ab6f427578c57dbb9f80d907d8e8e742fa683b99358663a191063034f
legacy_stress,19,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07925111239168693,0.6114804473491513,0.11372406667122577,2.260731977117009,,4,12,1.8879428242808332,0.0621,0.0,0.0,0.0,0.0,1.0,60.094275666101545,34.65697716949099,25.53,40.554965150511045,44.328681164437256,48.551289836921974,True,0c3f06f8b1b25730462342eb0280e9568b7054212e9001a830a658958a42e8c9
