direction_mode,surface_profile,profile_seed,champion_safety_ok,trained_safety_ok,champion_quality_ok,trained_quality_ok,champion_gu_final,trained_gu_final,delta_gu_final,champion_ra_final_um,trained_ra_final_um,delta_ra_final_um,champion_rz_final_um,trained_rz_final_um,delta_rz_final_um,champion_scratch_final_um,trained_scratch_final_um,delta_scratch_final_um,champion_clearcoat_min_um,trained_clearcoat_min_um,delta_clearcoat_min_um,champion_temperature_peak_c,trained_temperature_peak_c,delta_temperature_peak_c,champion_control_steps,trained_control_steps,delta_control_steps,champion_final_gu_pass_area_pct,trained_final_gu_pass_area_pct,delta_final_gu_pass_area_pct,champion_final_ra_pass_area_pct,trained_final_ra_pass_area_pct,delta_final_ra_pass_area_pct,champion_final_rz_pass_area_pct,trained_final_rz_pass_area_pct,delta_final_rz_pass_area_pct,champion_final_scratch_pass_area_pct,trained_final_scratch_pass_area_pct,delta_final_scratch_pass_area_pct,champion_final_all4_pass_area_pct,trained_final_all4_pass_area_pct,delta_final_all4_pass_area_pct
same_xx,factory_prepolish_deep_defect,19000,1,1,1,1,74.63433042129432,74.8457387924874,0.2114083711930732,0.11867402390153362,0.1035320505329801,-0.01514197336855351,1.0617702921043826,0.9672210682031788,-0.0945492239012038,0.4655383163832999,0.4495544574269398,-0.01598385895636012,41.78997657582208,41.718830034551715,-0.07114654127036601,29.089042876236103,29.13658798854822,0.04754511231211822,3264.0,3791.0,527.0,97.96000000000001,97.97,0.009999999999990905,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,97.96000000000001,97.97,0.009999999999990905
same_xx,factory_prepolish_deep_defect,19097,1,1,1,1,74.83198893167533,75.07062109405827,0.23863216238294171,0.09460664884401586,0.08111153439824834,-0.013495114445767523,0.8866248474035673,0.8578509594601873,-0.028773887943379983,0.7316332473461344,0.7288616844868111,-0.00277156285932334,43.508191441493196,43.423463591360715,-0.08472785013248085,28.81293135382587,28.821602065296428,0.008670711470557535,2950.0,3516.0,566.0,98.61,98.61999999999999,0.009999999999990905,99.83999999999999,99.85000000000001,0.010000000000019327,100.0,100.0,0.0,99.96000000000001,99.96000000000001,0.0,98.61,98.61999999999999,0.009999999999990905
same_xx,factory_prepolish_deep_defect,19194,1,1,1,1,71.85881513799178,72.9049588368776,1.046143698885814,0.11859312572016922,0.1013693723238944,-0.017223753396274827,1.085910122032384,0.9677471055962596,-0.11816301643612426,0.8100255578142121,0.7905460468916411,-0.019479510922571053,41.39586927835508,41.29579422343136,-0.10007505492372104,29.39096156640524,29.288613341162527,-0.10234822524271436,3250.0,3956.0,706.0,96.44,97.08,0.6400000000000006,99.89,99.91,0.01999999999999602,100.0,100.0,0.0,99.89,99.97,0.0799999999999983,96.44,97.08,0.6400000000000006
same_xx,factory_prepolish_deep_defect,19291,1,1,1,1,75.36546764868338,75.55306922692287,0.18760157823949442,0.09672612498928312,0.08500261024323902,-0.011723514746044106,0.8388872486595602,0.7826637772293917,-0.05622347143016848,0.587318463128728,0.5701720734921654,-0.017146389636562676,42.194628674034995,42.134767046134186,-0.0598616279008084,28.87738545607838,28.960177731662558,0.08279227558417901,2947.0,3526.0,579.0,98.7,98.71,0.009999999999990905,100.0,100.0,0.0,100.0,100.0,0.0,99.99,99.99,0.0,98.7,98.71,0.009999999999990905
same_xx,factory_prepolish_deep_stress,19000,1,1,1,1,74.16336459332292,74.35902901945482,0.1956644261318985,0.12221165379643255,0.10507893532966842,-0.017132718466764132,1.3091836837339914,1.208521956437082,-0.10066172729690948,0.8437928443204179,0.832209856869093,-0.011582987451324911,41.78997109020067,41.719138570244674,-0.07083251995599937,29.145416705233632,29.055994891693473,-0.08942181354015943,3281.0,3773.0,492.0,97.72999999999999,97.74000000000001,0.010000000000019327,99.65,99.67,0.01999999999999602,100.0,100.0,0.0,100.0,100.0,0.0,97.72999999999999,97.74000000000001,0.010000000000019327
same_xx,factory_prepolish_deep_stress,19097,1,1,1,1,74.61318245144793,74.84770412060895,0.23452166916102613,0.09657297068212574,0.08299589956800996,-0.013577071114115782,0.9779562903594025,0.9516199994369224,-0.02633629092248002,1.1084115076374579,1.103504710962303,-0.004906796675154812,43.5081024557329,43.42373601009027,-0.08436644564262963,28.816494622276036,28.769097632311432,-0.04739698996460362,2951.0,3509.0,558.0,98.5,98.52,0.01999999999999602,99.49,99.49,0.0,100.0,100.0,0.0,99.95,99.95,0.0,98.5,98.52,0.01999999999999602
same_xx,factory_prepolish_deep_stress,19194,1,1,1,1,71.54666631070191,72.59917189912044,1.0525055884185264,0.12114762311276313,0.10310235967200099,-0.01804526344076214,1.4770470196275984,1.3453774037611377,-0.13166961586646075,1.2698180238147994,1.2506151520161932,-0.019202871798606136,41.39588203741678,41.29558142278911,-0.10030061462767037,29.39716357794869,29.192689882935017,-0.20447369501367163,3256.0,3949.0,693.0,96.34,96.93,0.5900000000000034,99.42999999999999,99.44,0.010000000000005116,100.0,100.0,0.0,99.89,99.97,0.0799999999999983,96.34,96.93,0.5900000000000034
same_xx,factory_prepolish_deep_stress,19291,1,1,1,1,75.27625469780045,75.43922930331001,0.1629746055095609,0.09866707969644052,0.08607265757474233,-0.012594422121698187,0.9198809300922435,0.8607269208585346,-0.05915400923370884,0.9531183034423583,0.9382950965412152,-0.014823206901143027,42.19460798539254,42.13477263070575,-0.0598353546867898,28.91822435098387,28.8258584296766,-0.09236592130726962,2950.0,3513.0,563.0,98.46000000000001,98.47,0.009999999999990905,99.72999999999999,99.72999999999999,0.0,100.0,100.0,0.0,99.99,100.0,0.010000000000005116,98.46000000000001,98.47,0.009999999999990905
same_xx,legacy_stress,19000,1,1,0,0,62.70712246102455,62.70269264804975,-0.004429812974798608,0.1210673346048529,0.11001079102774992,-0.011056543577102979,1.5765230507824952,1.5391538627267978,-0.037369188055697444,0.990434503376515,0.9955939880324725,0.0051594846559575025,42.34405320569909,42.34389861733923,-0.00015458835986237318,29.598746457942745,29.578859253147108,-0.019887204795637103,5905.0,5989.0,84.0,75.42,75.84,0.4200000000000017,97.37,97.31,-0.060000000000002274,100.0,100.0,0.0,99.99,99.99,0.0,75.42,75.84,0.4200000000000017
same_xx,legacy_stress,19097,1,1,0,0,62.80685730391865,62.94542259301913,0.13856528910048382,0.15764939757800164,0.1421902367441205,-0.01545916083388113,2.214074712163479,2.1897838629196364,-0.024290849243842505,1.793197678595545,1.7936685572016822,0.0004708786061371484,43.976505189799084,43.97616533460766,-0.00033985519142731846,29.568265534064146,29.403436195487114,-0.1648293385770323,5114.0,5266.0,152.0,81.56,81.54,-0.01999999999999602,93.47999999999999,93.47,-0.009999999999990905,100.0,100.0,0.0,99.99,99.99,0.0,81.56,81.54,-0.01999999999999602
same_xx,legacy_stress,19194,1,1,0,0,63.126358114611755,63.19592554657574,0.06956743196398207,0.1605312119734755,0.14028722138921199,-0.020243990584263516,2.3523053455252003,2.286549791080719,-0.06575555444448122,1.6261085441185328,1.6295211653204358,0.003412621201902999,41.761448469545854,41.69445162458855,-0.06699684495730196,29.501040721136604,29.420352102729854,-0.08068861840675012,4920.0,5058.0,138.0,81.69,81.72,0.030000000000001137,92.03,92.06,0.030000000000001137,100.0,100.0,0.0,99.95,99.96000000000001,0.010000000000005116,81.69,81.72,0.030000000000001137
same_xx,legacy_stress,19291,1,1,0,0,67.15929159220035,67.52473354477148,0.3654419525711319,0.16858295572335716,0.14379564392623123,-0.024787311797125927,2.2633330715626565,2.1818334106233377,-0.08149966093931882,1.4660004059508704,1.4709747835457643,0.004974377594893831,43.1082674717407,43.101249841195916,-0.007017630544787323,29.175614371481796,29.383281906182283,0.20766753470048727,4355.0,4745.0,390.0,88.87,89.53999999999999,0.6699999999999875,95.72,95.73,0.010000000000005116,100.0,100.0,0.0,99.99,99.99,0.0,88.87,89.53999999999999,0.6699999999999875
