direction_mode,surface_profile,profile_seed,tile_i,tile_j,champion_all4_area_pct,trained_all4_area_pct,delta_all4_area_pct,champion_strict100,trained_strict100,champion_ge95,trained_ge95,champion_ge90,trained_ge90
cross_xy,factory_prepolish_deep_stress,19194,1,4,85.75,85.75,0.0,0,0,0,0,0,0
cross_xy,factory_prepolish_deep_stress,19194,2,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,2,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,2,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,2,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,2,4,65.25,70.0,4.75,0,0,0,0,0,0
cross_xy,factory_prepolish_deep_stress,19194,3,0,89.0,89.25,0.25,0,0,0,0,0,0
cross_xy,factory_prepolish_deep_stress,19194,3,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,3,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,3,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,3,4,68.75,75.75,7.0,0,0,0,0,0,0
cross_xy,factory_prepolish_deep_stress,19194,4,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,4,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,4,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,4,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19194,4,4,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_stress,19291,0,0,100.0,100.0,0.0,1,1,1,1,1,1
