env,control_step,substep,force_sensor_raw_n,force_sensor_filt_n,force_model_n,force_used_n,force_cmd_n,pad_gap_m,pad_in_patch,normal_alignment_error_deg,sensor_fault,hard_latched_before,hard_latched_after,latch_event,parent_force_action,executed_force_action,executed_feed_action,geometry_risk,force_cap_action,predictive_force_cap_action,predicted_force_n,shield_force_command_n,shield_feed_command_mm_s,observed_force_mean_n,observed_force_delta_n,shield_mode,surface_kind,direction_mode,surface_profile,profile_seed
1,2,0,0.0,0.0,0.4199710488319397,0.0,4.044600009918213,0.23029959201812744,0,43.149662017822266,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,2,0,0.0,0.0,0.4199710488319397,0.0,4.044600009918213,0.2303004264831543,0,43.1496467590332,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,2,0,0.0,0.0,0.4199710488319397,0.0,4.044600009918213,0.2303004264831543,0,43.1496467590332,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,2,1,0.0,0.0,0.4199869930744171,0.0,4.044600009918213,0.21057891845703125,0,41.252742767333984,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,2,1,0.0,0.0,0.4199869930744171,0.0,4.044600009918213,0.21057891845703125,0,41.252742767333984,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,2,1,0.0,0.0,0.4199869930744171,0.0,4.044600009918213,0.21057915687561035,0,41.253204345703125,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,2,1,0.0,0.0,0.4199869930744171,0.0,4.044600009918213,0.21057915687561035,0,41.253204345703125,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,2,2,0.0,0.0,0.41999417543411255,0.0,4.044600009918213,0.19930046796798706,0,42.26487731933594,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,2,2,0.0,0.0,0.41999417543411255,0.0,4.044600009918213,0.19930046796798706,0,42.26487731933594,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,2,2,0.0,0.0,0.41999417543411255,0.0,4.044600009918213,0.19929715991020203,0,42.26509094238281,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,2,2,0.0,0.0,0.41999417543411255,0.0,4.044600009918213,0.19929715991020203,0,42.26509094238281,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,2,3,0.0,0.0,0.4199973940849304,0.0,4.044600009918213,0.19183069467544556,0,43.58159255981445,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,2,3,0.0,0.0,0.4199973940849304,0.0,4.044600009918213,0.19183069467544556,0,43.58159255981445,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,2,3,0.0,0.0,0.4199973940849304,0.0,4.044600009918213,0.1918274164199829,0,43.581817626953125,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,2,3,0.0,0.0,0.4199973940849304,0.0,4.044600009918213,0.1918274164199829,0,43.581817626953125,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,2,4,0.0,0.0,0.41999882459640503,0.0,4.044600009918213,0.18638068437576294,0,45.08218765258789,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,2,4,0.0,0.0,0.41999882459640503,0.0,4.044600009918213,0.18638068437576294,0,45.08218765258789,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,2,4,0.0,0.0,0.41999882459640503,0.0,4.044600009918213,0.1863783299922943,0,45.08245849609375,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,2,4,0.0,0.0,0.41999882459640503,0.0,4.044600009918213,0.1863783299922943,0,45.08245849609375,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,2,5,0.0,0.0,0.41999948024749756,0.0,4.044600009918213,0.1824115514755249,0,46.732547760009766,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,2,5,0.0,0.0,0.41999948024749756,0.0,4.044600009918213,0.1824115514755249,0,46.732547760009766,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,2,5,0.0,0.0,0.41999948024749756,0.0,4.044600009918213,0.18240970373153687,0,46.73284149169922,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,2,5,0.0,0.0,0.41999948024749756,0.0,4.044600009918213,0.18240970373153687,0,46.73284149169922,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,3,0,0.0,0.0,0.41999977827072144,0.0,4.044600009918213,0.17965811491012573,0,48.51577377319336,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,3,0,0.0,0.0,0.41999977827072144,0.0,4.044600009918213,0.17965811491012573,0,48.51577377319336,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,3,0,0.0,0.0,0.41999977827072144,0.0,4.044600009918213,0.17965692281723022,0,48.51609420776367,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,3,0,0.0,0.0,0.41999977827072144,0.0,4.044600009918213,0.17965692281723022,0,48.51609420776367,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,3,1,0.0,0.0,0.419999897480011,0.0,4.044600009918213,0.17782694101333618,1,50.40674591064453,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,3,1,0.0,0.0,0.419999897480011,0.0,4.044600009918213,0.17782694101333618,1,50.40674591064453,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,3,1,0.0,0.0,0.419999897480011,0.0,4.044600009918213,0.17782723903656006,1,50.40718460083008,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,3,1,0.0,0.0,0.419999897480011,0.0,4.044600009918213,0.17782723903656006,1,50.40718460083008,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,3,2,0.0,0.0,0.41999995708465576,0.0,4.044600009918213,0.1754148304462433,1,51.789405822753906,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,3,2,0.0,0.0,0.41999995708465576,0.0,4.044600009918213,0.1754148304462433,1,51.789405822753906,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,3,2,0.0,0.0,0.41999995708465576,0.0,4.044600009918213,0.17541548609733582,1,51.78981018066406,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,3,2,0.0,0.0,0.41999995708465576,0.0,4.044600009918213,0.17541548609733582,1,51.78981018066406,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,3,3,0.0,0.0,0.42000001668930054,0.0,4.044600009918213,0.16995033621788025,1,51.64209747314453,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,3,3,0.0,0.0,0.42000001668930054,0.0,4.044600009918213,0.16995033621788025,1,51.64209747314453,0,0,0,0,0.15921351313591003,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
