policy_label,direction_mode,surface_profile,profile_seed,policy_outcome,champion_outcome,policy_safety_ok,champion_safety_ok,delta_gu,delta_ra_um,delta_rz_um,delta_scratch_um,delta_clearcoat_um
bc_spatial120,cross_xy,legacy_stress,10194,fail_max_passes,fail_max_passes,True,True,-0.037586395992221355,-0.013292917327273682,-0.04254034991528721,-0.0003251916458224535,-0.05592205746297907
bc_base14,cross_xy,legacy_stress,10291,fail_max_passes,fail_max_passes,True,True,0.03489519099781546,-0.0005528936232290366,-0.001995034894643144,-2.1389360366885768e-05,0.0013631765453894218
bc_global20,cross_xy,legacy_stress,10291,fail_max_passes,fail_max_passes,True,True,-0.2503130039659993,0.0008824247942793989,-0.00115187792541116,0.000916914153470394,0.030183087419729304
bc_spatial120,cross_xy,legacy_stress,10291,fail_max_passes,fail_max_passes,True,True,-3.1196350034403366,-0.0299828050680115,-0.14196824362564908,0.08203746242723531,0.364762148131355
bc_base14,cross_xy,legacy_stress,10388,fail_max_passes,fail_max_passes,True,True,-0.015719626999555203,-0.00024224052552176967,0.0001144094817542296,0.0006522935975847854,0.0002673006865450134
bc_global20,cross_xy,legacy_stress,10388,fail_max_passes,fail_max_passes,True,True,-0.8318293444591234,-0.024329824537456843,-0.06908178285283673,0.04036974726956366,0.003593659976523611
bc_spatial120,cross_xy,legacy_stress,10388,fail_max_passes,fail_max_passes,True,True,-2.758008113159022,-0.039609578953274605,-0.10534293418031226,0.09086805836579293,0.03334552944259883
bc_base14,cross_xy,legacy_stress,10485,fail_max_passes,fail_max_passes,True,True,-0.050067987407828696,0.0012868709573816417,0.005845639822078752,-0.0007805235131956856,-0.0015953455944739403
bc_global20,cross_xy,legacy_stress,10485,fail_max_passes,fail_max_passes,True,True,-0.7607766618032414,-0.005585339657809968,0.008572552125035937,0.012480326637263506,0.04348932735731381
bc_spatial120,cross_xy,legacy_stress,10485,fail_max_passes,fail_max_passes,True,True,-5.7820324695245375,-0.010326687139259882,-0.039598133815190284,0.21592025244496882,0.28260364818270745
bc_base14,cross_xy,legacy_stress,10582,fail_max_passes,fail_max_passes,True,True,-0.5891743501588351,0.006275605431556891,0.024070586530334115,-0.0009564679134872467,0.009523419493746133
bc_global20,cross_xy,legacy_stress,10582,fail_max_passes,fail_max_passes,True,True,-0.9420195785291341,0.007902144450526227,0.033480887531052606,-0.0011194400608427468,0.016663746694788983
bc_spatial120,cross_xy,legacy_stress,10582,fail_max_passes,fail_max_passes,True,True,-8.825858072505305,-0.03216005679116812,-0.021664404012375238,0.14597521234054356,0.537895240130311
bc_base14,cross_xy,legacy_stress,10679,fail_max_passes,fail_max_passes,True,True,-0.07953914100374249,-0.0005268108087276013,-0.00027479098269433955,0.0007376816691402333,0.0008221188223558329
bc_global20,cross_xy,legacy_stress,10679,fail_max_passes,fail_max_passes,True,True,-0.9245174998417625,0.01667703157438613,0.0017888357207509475,0.0009991235682105248,0.09777868069590312
bc_spatial120,cross_xy,legacy_stress,10679,fail_max_passes,fail_max_passes,True,True,-4.984100674524548,-0.008421844005610649,-0.10178761642175238,0.20997553671760505,0.23488818917503096
bc_base14,same_xx,factory_prepolish,10000,fail_max_passes,fail_max_passes,True,True,0.01428248013388611,-5.616087968704497e-05,-0.0001689525043768736,-0.0006784429592933128,-0.0020175361329535235
bc_global20,same_xx,factory_prepolish,10000,fail_max_passes,fail_max_passes,True,True,0.0024922138433964847,-5.237414859382561e-05,-0.00017276776883945466,-0.0002715136858744138,0.0002899038444610369
bc_spatial120,same_xx,factory_prepolish,10000,fail_max_passes,fail_max_passes,True,True,0.07518219512702728,0.003150745193948326,0.019897175158766878,-0.01247111718937649,-0.03674787577682537
