rail,segment,waypoint,path_file,geometry_risk,path_step_m,command_allowed,hold_reason,entry_progress,reset_before,control_force_n,control_feed_mm_s,curvature_force_n,curvature_feed_mm_s,softstart_force_n,softstart_feed_mm_s,deterministic_force_n,deterministic_feed_mm_s,projected_combined_force_n,projected_combined_feed_mm_s,nominal_dt_s,zero_residual_force_n,zero_residual_feed_mm_s,worst_up_force_n,worst_up_feed_mm_s,worst_down_force_n,worst_down_feed_mm_s,signed_k1_norm,signed_k2_norm,pad_curvature_ratio_norm,footprint_normal_spread_norm,fit_confidence,boundary_risk,hole_risk,contact_gap_norm,normal_force_norm,force_rate_norm
SL,5,13,path_SL5.npy,0.05159419384970176,0.034202053810940554,True,,1.0,False,6.0,12.7,5.871014515375745,12.372376869054394,6.0,12.7,5.871014515375745,12.372376869054394,5.871014515375745,12.372376869054394,2.7643882960343884,5.871014515375745,12.372376869054394,6.0,12.7,4.990362338069383,9.897901495243515,0.0015490970108658075,-0.10023684054613113,0.06891282647848129,0.13760489225387573,0.9946451187133789,0.02225961722433567,0.0,0.0,0.0,0.0
SL,5,14,path_SL5.npy,0.015217511043423258,0.04698521784279778,True,,1.0,False,6.0,12.7,5.961956222391442,12.603368804874261,6.0,12.7,5.961956222391442,12.603368804874261,5.961956222391442,12.603368804874261,3.727988807613611,5.961956222391442,12.603368804874261,6.0,12.7,5.067662789032726,10.08269504389941,0.010023749433457851,-0.053886864334344864,0.03704721853137016,0.0730210393667221,0.9943940043449402,0.0,0.0,0.0,0.0,0.0
SL,5,15,path_SL5.npy,0.003019540847660604,0.04971498711474541,True,,1.0,False,6.0,12.7,5.992451147880849,12.680825915617355,6.0,12.7,5.992451147880849,12.680825915617355,5.992451147880849,12.680825915617355,3.920484946766583,5.992451147880849,12.680825915617355,6.0,12.7,5.093583475698722,10.144660732493884,0.016179222613573074,-0.02262360230088234,0.015553725883364677,0.03207028657197952,0.9956443905830383,0.01263104472309351,0.0,0.0,0.0,0.0
SL,5,16,path_SL5.npy,0.0393023144762537,0.028857755482078425,True,,1.0,False,6.0,12.7,5.901744213809366,12.450430303075787,6.0,12.7,5.901744213809366,12.450430303075787,5.901744213809366,12.450430303075787,2.3178118972281085,5.901744213809366,12.450430303075787,6.0,12.7,5.016482581737961,9.96034424246063,0.005656570196151733,-0.0891508087515831,0.061291180551052094,0.11930114030838013,0.9939448833465576,0.0,0.0,0.0,0.0,0.0
SL,5,17,path_SL5.npy,0.06365080915362695,0.045781756115412804,True,,1.0,False,6.0,12.7,5.840872977115932,12.295817361874468,6.0,12.7,5.840872977115932,12.295817361874468,5.840872977115932,12.295817361874468,3.723360128735149,5.840872977115932,12.295817361874468,6.0,12.7,4.964742030548543,9.836653889499575,-0.01779460534453392,-0.11544428765773773,0.07936794310808182,0.1537533700466156,0.9941952228546143,0.0,0.0,0.0,0.0,0.0
SL,5,18,path_SL5.npy,0.3710934952620255,0.0305274060008639,True,,1.0,False,6.0,12.7,5.072266261844936,10.343556305086137,6.0,12.7,5.072266261844936,10.343556305086137,5.072266261844936,10.343556305086137,2.951345272404323,5.072266261844936,10.343556305086137,5.391264386428661,11.319325781444961,4.311426322568195,8.27484504406891,0.006280319765210152,-0.30772706866264343,0.2115623503923416,0.4131900668144226,0.9655803442001343,0.019728656858205795,0.0,0.0,0.0,0.0
SL,5,19,path_SL5.npy,1.0,0.03437671138653897,False,footprint_normal_spread,0.0,True,6.0,12.7,3.5,6.35,2.0999999999999996,6.35,0.0,0.0,2.0,6.35,5.41365533646283,0.0,0.0,0.0,0.0,0.0,0.0,-0.03985952213406563,-0.964962363243103,0.6634116172790527,1.0,0.9118170142173767,0.006457851734012365,0.0,0.0,0.0,0.0
SL,5,20,path_SL5.npy,1.0,0.027922227191910495,False,footprint_normal_spread,0.0,True,6.0,12.7,3.5,6.35,2.0999999999999996,6.35,0.0,0.0,2.0,6.35,4.39720113258433,0.0,0.0,0.0,0.0,0.0,0.0,-0.012113740667700768,-1.0,0.7469165325164795,1.0,0.9395265579223633,0.07806316763162613,0.0,0.0,0.0,0.0
SL,5,21,path_SL5.npy,0.33566877417058727,0.041131161016438066,True,,0.0,True,6.0,12.7,5.160828064573532,10.56850328401677,2.0999999999999996,6.35,2.0,6.35,2.0,6.35,6.47734819156505,2.0,6.35,2.1328662451658826,6.982775492602515,2.0,6.35,0.016479473561048508,-0.28227463364601135,0.19406381249427795,0.38860270380973816,0.9776894450187683,0.10527236014604568,0.0,0.0,0.0,0.0
SL,5,22,path_SL5.npy,0.6280746037161943,0.0279278833156448,True,,0.6981970828911199,False,6.0,12.7,4.429813490709514,8.711726266402167,5.14872529865081,11.31395016575196,3.801315464653455,7.760947782342244,3.801315464653455,7.760947782342244,3.598514524113471,3.801315464653455,7.760947782342244,3.9426960407125544,8.193921819265078,3.231118144955437,6.35,0.010071169584989548,-0.29582372307777405,0.2033788114786148,0.37793219089508057,0.9914719462394714,0.5862382054328918,0.0,0.0,0.0,0.0
SL,5,23,path_SL5.npy,0.9999062061329645,0.03727000190036722,False,point_cloud_boundary,0.0,True,6.0,12.7,3.5002344846675886,6.350595591055675,2.0999999999999996,6.35,0.0,0.0,2.0,6.35,5.869291637853106,0.0,0.0,0.0,0.0,0.0,0.0,0.030323414131999016,-0.28153663873672485,0.19355644285678864,0.38831132650375366,0.8905367255210876,0.9943980574607849,0.9878882765769958,0.0,0.0,0.0
SL,5,24,path_SL5.npy,0.21531313782474554,0.04170590326762884,True,,0.0,True,6.0,12.7,5.461717155438136,11.332761574812865,2.0999999999999996,6.35,2.0,6.35,2.0,6.35,6.567858782303754,2.0,6.35,2.156937372435051,7.09741423622193,2.0,6.35,0.026008235290646553,-0.2004479318857193,0.1378079503774643,0.2614951431751251,0.9925312399864197,0.29945459961891174,0.0,0.0,0.0,0.0
